,expedition_id,peak_id,peak_name,year,season,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used
0,ANN260101,ANN2,Annapurna II,1960,Spring,Success (main peak),7937.0,10,0,9,0,Yes
1,ANN269301,ANN2,Annapurna II,1969,Autumn,Success (main peak),7937.0,10,0,0,0,No
2,ANN273101,ANN2,Annapurna II,1973,Spring,Success (main peak),7937.0,6,0,8,0,No
3,ANN278301,ANN2,Annapurna II,1978,Autumn,"Bad weather (storms, high winds)",7000.0,2,0,0,0,No
4,ANN279301,ANN2,Annapurna II,1979,Autumn,"Bad weather (storms, high winds)",7160.0,3,0,0,0,No
5,ANN280101,ANN2,Annapurna II,1980,Spring,Accident (death or serious injury),7000.0,6,1,2,0,No
6,ANN280102,ANN2,Annapurna II,1980,Spring,Accident (death or serious injury),7250.0,7,0,2,0,No
7,ANN281302,ANN2,Annapurna II,1981,Autumn,"Bad weather (storms, high winds)",6400.0,19,0,0,0,No
8,ANN281301,ANN2,Annapurna II,1981,Autumn,Accident (death or serious injury),7400.0,9,1,3,0,No
9,ANN282301,ANN2,Annapurna II,1982,Autumn,"Bad weather (storms, high winds)",7350.0,5,0,0,0,No
10,ANN283101,ANN2,Annapurna II,1983,Spring,Accident (death or serious injury),7450.0,5,1,0,0,No
11,ANN283301,ANN2,Annapurna II,1983,Autumn,Success (main peak),7937.0,5,0,3,0,No
12,ANN283302,ANN2,Annapurna II,1983,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7300.0,6,0,4,0,No
13,ANN283401,ANN2,Annapurna II,1983,Winter,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5950.0,4,0,2,0,No
14,ANN284101,ANN2,Annapurna II,1984,Spring,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6000.0,3,0,0,0,No
15,ANN284301,ANN2,Annapurna II,1984,Autumn,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5100.0,4,0,2,0,No
16,ANN285301,ANN2,Annapurna II,1985,Autumn,"Bad weather (storms, high winds)",7020.0,8,0,5,0,No
17,ANN286102,ANN2,Annapurna II,1986,Spring,"Bad weather (storms, high winds)",7000.0,7,0,0,0,No
18,ANN286101,ANN2,Annapurna II,1986,Spring,"Bad weather (storms, high winds)",7250.0,9,0,0,0,No
19,ANN287301,ANN2,Annapurna II,1987,Autumn,"Route technically too difficult, lack of experience, strength, or motivation",7500.0,2,0,0,0,No
20,ANN290301,ANN2,Annapurna II,1990,Autumn,"Bad weather (storms, high winds)",7200.0,7,0,4,0,No
21,ANN450201,ANN4,Annapurna IV,1950,Summer,"Bad weather (storms, high winds)",7300.0,6,0,5,0,No
22,ANN452301,ANN4,Annapurna IV,1952,Autumn,"Bad weather (storms, high winds)",5700.0,6,0,6,0,No
23,ANN453101,ANN4,Annapurna IV,1953,Spring,Did not attempt climb,7408.9238190954775,2,0,0,0,No
24,ANN453301,ANN4,Annapurna IV,1953,Autumn,"Bad weather (storms, high winds)",7100.0,7,0,7,0,No
25,ANN455101,ANN4,Annapurna IV,1955,Spring,Success (main peak),7525.0,4,0,2,0,No
