,peak_id,peak_name,height_metres,climbing_status
0,AMAD,Ama Dablam,6814,Climbed
1,AMPG,Amphu Gyabjen,5630,Climbed
2,ANN1,Annapurna I,8091,Climbed
3,ANN2,Annapurna II,7937,Climbed
4,ANN3,Annapurna III,7555,Climbed
5,ANN4,Annapurna IV,7525,Climbed
6,ANNE,Annapurna I East,8026,Climbed
7,ANNM,Annapurna I Middle,8051,Climbed
8,ANNS,Annapurna South,7219,Climbed
9,APIM,Api Main,7132,Climbed
10,APIW,Api West,7076,Unclimbed
11,BARU,Baruntse,7152,Climbed
12,BAUD,Baudha,6672,Climbed
13,BHEM,Bhemdang Ri,6150,Climbed
14,BHRI,Bhrikuti,6476,Climbed
15,BOBA,Bobaye,6808,Climbed
16,CHAM,Chamlang,7321,Climbed
17,CHAN,Changla,6563,Climbed
18,CHMN,Chamar North,7165,Climbed
19,CHEO,Cheo Himal,6820,Climbed
20,CHOY,Cho Oyu,8188,Climbed
21,CHOB,Chobuje,6686,Climbed
22,CHOL,Cholatse,6423,Climbed
23,CHOP,Cho Polu,6700,Climbed
24,CHUL,Chulu Central,6584,Climbed
25,CHUG,Chukyima Go,6258,Climbed
26,CHUR,Churen Himal Central,7385,Climbed
27,CHUW,Chulu West,6419,Climbed
28,TAPL,Taple Shikhar,6447,Climbed
29,CTSE,Changtse,7583,Climbed
30,DHA1,Dhaulagiri I,8167,Climbed
31,DHA2,Dhaulagiri II,7751,Climbed
32,DHA3,Dhaulagiri III,7715,Climbed
33,DHA4,Dhaulagiri IV,7661,Climbed
34,DHA5,Dhaulagiri V,7618,Climbed
35,DHA6,Dhaulagiri VI,7268,Climbed
36,DHAM,Dhampus,6012,Climbed
37,DOGA,Dogari,6536,Unclimbed
38,PEMK,Pemthang Karpo Ri,6865,Climbed
39,DORJ,Dorje Lhakpa,6966,Climbed
40,DRAN,Drangnag Ri,6757,Climbed
41,DROM,Drohmo,6881,Unclimbed
42,EVER,Everest,8850,Climbed
43,FANG,Fang,7647,Climbed
44,FIRN,Firnkopf,6730,Unclimbed
45,FIRW,Firnkopf West,6745,Climbed
46,GAMA,Gama Peak,7187,Climbed
47,GAN1,Ganesh I,7422,Climbed
48,GAN3,Ganesh III,7043,Climbed
49,GAN2,Ganesh II,7118,Climbed
50,GAN4,Ganesh IV,7104,Climbed
51,GAN5,Ganesh V,6770,Climbed
52,GAN6,Ganesh VI,6908,Climbed
